"datA","datB","datC"
56.96236936,52.3600847,59.75200893
59.11301887,57.54904562,62.28107624
59.34131193,58.50034676,63.52316746
59.5888134,61.69213999,64.53562364
60.15760459,62.78791888,65.82942383
63.13994685,63.27308036,65.99965269
64.5000078,63.33249961,66.0210531
64.84516165,63.42743849,66.06184108
65.11171873,64.30921228,67.05590893
65.93714825,64.31489151,68.42566412
66.66054964,66.26624251,68.72789467
67.06922672,66.34095032,69.8091717
67.18244085,66.62553976,70.08310186
67.32358909,67.37270772,70.99962482
68.75366026,67.46875646,71.77330652
68.9431526,69.65840698,72.52739852
71.34912216,71.09358869,73.6577912
73.80802867,74.07960529,77.54313009
74.3455237,74.18061404,79.18164807
75.87471495,75.73765682,80.28393587
