division,math,eng,programing,statistics
psych,70.46981532,114.8359047,61.12158176,74.3183537
psych,73.81798955,66.92469985,61.82647794,89.33690002
psych,82.03108863,101.2752539,51.17640816,89.16552122
psych,75.79116123,93.2114883,63.93370432,67.98650323
psych,71.94045134,88.56102665,63.40832672,78.6051662
psych,81.31696055,92.99913991,71.84319812,72.96828043
psych,78.89631309,97.79397839,52.56748744,85.48671572
psych,67.87027974,80.11265315,69.16211739,87.90506457
psych,65.63734041,90.79665442,57.67472529,88.94322857
psych,62.02505561,94.89110767,75.15117351,81.58206509
psych,77.61711741,92.83323511,57.25809404,80.41349845
psych,57.24810031,98.54674657,59.45988836,77.52960048
psych,66.4196479,75.30626729,51.5816584,82.4887945
psych,75.83384074,85.02180385,75.50805807,89.64344831
psych,77.96621194,84.71481915,64.01188848,83.58807984
psych,43.99443193,101.0343474,66.10981003,86.5453845
psych,83.70271438,103.9760656,68.10494766,61.96482076
psych,77.6804824,98.32996874,64.20910562,81.87703364
psych,73.13872287,79.83970573,45.97681797,85.57566911
psych,82.17685835,90.28081125,59.71123448,85.12631328
busi,69.5301792,60.37935371,33.90324054,75.96091358
busi,86.85490261,78.31701346,72.33363801,96.89768381
busi,84.79372529,90.70922466,47.34219022,89.42178806
busi,76.18635658,67.60730993,30.91886115,74.9630953
busi,71.86706055,72.51233897,36.22485765,95.29537721
busi,92.98555445,79.09155232,45.59989591,58.36615666
busi,82.26250789,63.74884067,63.95661909,78.4801624
busi,91.31826825,76.43730726,42.04317156,80.76420339
busi,85.4975251,87.25626889,43.122872,89.18455026
busi,83.2248632,85.33319781,52.55909746,89.08502383
busi,86.61940079,85.70463311,45.97877384,107.4505422
busi,90.35624385,69.38829358,56.53895064,74.58097394
busi,72.27244949,75.66415285,61.90213092,86.31000188
busi,81.79652014,76.68982368,26.28928295,99.56126717
busi,79.91303877,84.40075705,33.30027358,84.93090232
busi,80.44186017,79.13094859,46.87255324,79.84777743
busi,76.52191273,79.86895899,46.73669562,78.8728837
busi,70.75812901,78.41795577,53.00367361,91.26987982
busi,80.4140305,81.41927876,50.65285177,86.17171437
busi,94.97053902,76.46044483,44.51086942,85.75394333
